"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ENSG00000099917",-0.07497087674043,6.03867395190272,-2.53984079915914,0.0139579905613578,0.0439983803218831,-5.29568648487918,"MED15"
"ENSG00000159228",-0.0845658969277849,5.89223480627136,-2.53970997493118,0.0139626496002322,0.0440072492920688,-4.98964255402492,"CBR1"
"ENSG00000166143",-0.667645960518898,5.28596874489125,-2.53966013212654,0.0139644250213919,0.0440101751629599,-3.63385074813381,"PPP1R14D"
"ENSG00000259803",-1.18188249349047,4.13298341493182,-2.53885523292308,0.0139931242259271,0.0440862947925446,-2.98605548250057,"SLC22A31"
"ENSG00000187893",-0.847521061985328,2.84759225786213,-2.53849150149031,0.0140061108459245,0.0441228160859301,-2.96240935578554,"CXXC1P1"
"ENSG00000099260",-0.158559158071738,5.56887680443564,-2.53807934575531,0.0140208396099514,0.044161182242826,-4.41403701454955,"PALMD"
"ENSG00000256673",-0.646772963158266,4.43280008018744,-2.53801343000694,0.0140231964721821,0.044165928074427,-3.15794073780124,"AC141557.1"
"ENSG00000141052",-0.574721218541397,4.91683999263326,-2.53775389056539,0.0140324799734233,0.0441898087367702,-3.42348339426664,"MYOCD"
"ENSG00000171806",-0.0718400414350953,5.47175900298487,-2.53764515897319,0.0140363708646057,0.0441993825019531,-4.35717245056101,"METTL18"
"ENSG00000232163",-0.647272925603628,2.17910541360867,-2.53757136084115,0.0140390122413496,0.0442050207264895,-3.13253624499056,"RPLP1P13"
"ENSG00000164253",-0.0556587610135226,5.78308543365239,-2.53730830364532,0.0140484312304068,0.0442319978270743,-4.84797139514477,"WDR41"
"ENSG00000166822",-0.0542437997097647,5.75011790115801,-2.53691243253156,0.0140626165367598,0.0442739776724531,-4.7968347116166,"TMEM170A"
"ENSG00000254152",-0.596268318842872,2.06432583585137,-2.53677296626354,0.014067617144609,0.0442870375768659,-3.19723963775129,"PPIAP84"
"ENSG00000253550",-0.592057443090059,2.03120514149905,-2.53668666557994,0.0140707122908591,0.0442940975738787,-3.2044736446586,"AC016065.2"
"ENSG00000146910",-0.980899274207812,2.84627442886883,-2.53599296737317,0.0140956139929317,0.0443671107105764,-2.99971569578261,"CNPY1"
"ENSG00000239553",-0.783012376309662,2.43927483039056,-2.53588483750138,0.0140994991313719,0.0443766509887499,-3.05853947099204,"RN7SL12P"
"ENSG00000116649",-0.0884242880544202,5.87799133810231,-2.53574768574439,0.0141044284315802,0.0443894762984201,-4.97705266496588,"SRM"
"ENSG00000148672",-0.0552177849351976,6.07231639018534,-2.53568558928403,0.0141066607221061,0.0443938125359684,-5.42151840110781,"GLUD1"
"ENSG00000256732",-0.492338300822881,1.74988417746898,-2.53540930371978,0.0141165967283903,0.0444170098368936,-3.38822207606219,"AC006065.4"
"ENSG00000141985",-0.0656544361697451,5.99981885179919,-2.53535589550136,0.0141185181698929,0.0444203653484296,-5.25054725433074,"SH3GL1"
"ENSG00000204670",-0.834084070256804,2.49331415378333,-2.53525384139633,0.0141221903802653,0.0444283993019519,-3.06001142191378,"IGKV1OR2-3"
"ENSG00000279314",-0.584894463877971,4.41675918498467,-2.53484575974052,0.0141368830287944,0.0444673742736564,-3.16868650369326,"AC002525.1"
"ENSG00000258285",-1.03557812133919,3.35592668573401,-2.53457755128864,0.0141465472024335,0.044489692091721,-2.95593208958751,"TESC-AS1"
"ENSG00000147526",-0.0811205974305658,6.0436371919796,-2.53404531603894,0.0141657426130857,0.0445311908828134,-5.34447418202117,"TACC1"
"ENSG00000165633",-0.146796244838041,5.71340519332265,-2.53401834199959,0.0141667160777632,0.0445313494904379,-4.65081058930748,"VSTM4"
"ENSG00000074621",-0.0716405435482246,5.60325015387094,-2.53379234144302,0.014174874582885,0.0445491158477532,-4.55316754813806,"SLC24A1"
"ENSG00000257830",-0.646478421511752,2.12129160856671,-2.53370001793243,0.0141782086398885,0.044554247711981,-3.16358422025854,"AC021066.1"
"ENSG00000138074",-0.0579706323139746,5.76211340584118,-2.53367588732496,0.0141790801799648,0.044554247711981,-4.81387665947052,"SLC5A6"
"ENSG00000279707",-0.674192348060711,2.30842702328378,-2.5333991285185,0.0141890795224112,0.0445775798214521,-3.08873221812617,"AC120349.3"
"ENSG00000263680",-0.986691636413022,3.52041709519164,-2.53299878828829,0.0142035551944787,0.044617661682928,-2.96180350805266,"AC007639.1"
